Date,Prediction,Close
2021-05-17,13336.557914174444,13379.049805
2021-05-18,13354.680586954015,13303.639648
2021-05-19,13308.126322286833,13299.740234
2021-05-20,13305.710859113697,13535.740234
2021-05-21,13459.921108494118,13470.990234
2021-05-24,13490.56651022263,13661.169922
2021-05-25,13620.675944046909,13657.169922
2021-05-26,13613.971562490926,13738.0
2021-05-27,13707.184181135119,13736.280273
2021-05-28,13725.927248073775,13748.740234
2021-06-01,13743.722647200628,13736.480469
2021-06-02,13741.06996366232,13756.330078
2021-06-03,13747.81164788005,13614.509766
2021-06-04,13657.387548304083,13814.490234
2021-06-07,13774.426457708225,13881.719727
2021-06-08,13818.10742206394,13924.910156
2021-06-09,13895.286857370043,13911.75
2021-06-10,13907.501577061319,14020.330078
2021-06-11,13991.627283983942,14069.419922
2021-06-14,14058.743785118471,14174.139648
2021-06-15,14106.287707073261,14072.860352
2021-06-16,14089.867281335697,14039.679688
2021-06-17,14060.948803180838,14161.349609
2021-06-18,14124.918443311546,14030.379883
2021-06-21,14050.023145338298,14141.480469
2021-06-22,14127.2120174236,14253.269531
2021-06-23,14202.473594097488,14271.730469
2021-06-24,14262.01090786156,14369.709961
2021-06-25,14340.19175786705,14360.389648
2021-06-28,14342.213470463794,14500.509766
2021-06-29,14470.866844648592,14528.330078
2021-06-30,14508.82464070301,14503.950195
2021-07-01,14508.371796388708,14522.379883
2021-07-02,14520.946009481228,14639.330078
2021-07-06,14598.779161419747,14663.639648
2021-07-07,14634.714169114248,14665.05957
2021-07-08,14663.430894986976,14559.780273
2021-07-09,14592.060822729465,14701.919922
2021-07-12,14673.751631437604,14733.240234
2021-07-13,14710.713086930675,14677.650391
2021-07-14,14688.734724401696,14644.950195
2021-07-15,14671.782114095762,14543.129883
2021-07-16,14551.812366402522,14427.240234
2021-07-19,14475.789259816136,14274.980469
2021-07-20,14269.306184859055,14498.879883
2021-07-21,14456.650379607203,14631.950195
2021-07-22,14602.99899599944,14684.599609
2021-07-23,14675.971067267375,14836.990234
2021-07-26,14728.816775755988,14840.709961
2021-07-27,14819.704636092687,14570.27832
