Date,Close,Prediction
2021-05-21,28.58,38.699368
2021-05-24,29.129999,42.42986
2021-05-25,29.379999,42.6917
2021-05-26,31.57,43.862232
2021-05-27,32.389999,43.941586
2021-05-28,32.130001,45.481915
2021-06-01,34.599998,44.774654
2021-06-02,35.0,47.04418
2021-06-03,35.950001,47.6319
2021-06-04,37.110001,51.062576
2021-06-07,38.360001,52.594852
2021-06-08,39.650002,52.293064
2021-06-09,38.07,55.495956
2021-06-10,38.610001,53.38522
2021-06-11,41.5,55.368187
2021-06-14,42.599998,54.664608
2021-06-15,40.169998,55.851612
2021-06-16,41.029999,56.84594
2021-06-17,44.240002,55.270126
2021-06-18,45.23,56.108166
2021-06-21,43.630001,59.17317
2021-06-22,39.990002,59.286568
2021-06-23,41.610001,57.9704
2021-06-24,40.950001,57.064064
2021-06-25,42.16,57.26287
2021-06-28,45.310001,58.076473
2021-06-29,44.32,58.15121
2021-06-30,44.419998,56.35509
2021-07-01,43.66,59.515118
2021-07-02,43.740002,57.328716
2021-07-06,44.049999,60.224674
2021-07-07,41.470001,60.273903
2021-07-08,40.0,59.30416
2021-07-09,39.919998,58.895077
2021-07-12,39.799999,55.656876
2021-07-13,39.189999,54.912437
2021-07-14,37.77,55.78024
2021-07-15,38.509998,53.989426
2021-07-16,39.029999,54.35752
2021-07-19,39.720001,54.17627
2021-07-20,40.759998,54.81425
2021-07-21,43.869999,55.609623
2021-07-22,43.27,55.725178
2021-07-23,41.0,56.455795
2021-07-26,40.75,56.748856
2021-07-27,34.763401,55.442955
