Date,Close,Prediction
2021-05-17,33.810001,37.781258
2021-05-18,34.189999,38.79482
2021-05-19,33.459999,40.12084
2021-05-20,34.330002,39.422237
2021-05-21,34.060001,40.43352
2021-05-24,35.889999,40.897728
2021-05-25,36.07,40.725853
2021-05-26,37.759998,40.58339
2021-05-27,38.91,42.963
2021-05-28,38.619999,41.974087
2021-06-01,42.34,44.362045
2021-06-02,41.16,45.265106
2021-06-03,40.900002,45.637936
2021-06-04,41.939999,46.684643
2021-06-07,43.68,45.460903
2021-06-08,43.560001,47.54711
2021-06-09,42.740002,47.258698
2021-06-10,42.759998,47.187057
2021-06-11,45.68,46.96371
2021-06-14,46.549999,48.802284
2021-06-15,45.150002,48.19217
2021-06-16,45.02,48.908855
2021-06-17,47.360001,48.56098
2021-06-18,46.91,49.73606
2021-06-21,46.509998,49.869633
2021-06-22,44.099998,49.543236
2021-06-23,45.41,48.55053
2021-06-24,45.459999,49.41316
2021-06-25,45.07,48.19179
2021-06-28,49.400002,48.264465
2021-06-29,50.34,49.486256
2021-06-30,53.200001,50.95435
2021-07-01,50.900002,53.40761
2021-07-02,50.400002,52.62443
2021-07-06,50.290001,54.322834
2021-07-07,46.040001,53.050907
2021-07-08,45.599998,51.677055
2021-07-09,45.529999,49.820408
2021-07-12,46.34,48.358883
2021-07-13,44.959999,48.663708
2021-07-14,43.049999,47.512665
2021-07-15,43.68,46.542763
2021-07-16,42.799999,47.0377
2021-07-19,43.349998,46.238617
2021-07-20,44.169998,46.15936
2021-07-21,46.77,46.502953
2021-07-22,46.07,48.217285
2021-07-23,43.990002,49.025425
2021-07-26,43.169998,49.04694
2021-07-27,39.034,48.52913
