Date,Close,Prediction
2021-07-31,333.5495910644531,299.14893
2021-08-01,333.4840087890625,298.31805
2021-08-02,331.1031188964844,312.4379
2021-08-03,322.74774169921875,284.37494
2021-08-04,334.9187927246094,274.6378
2021-08-05,337.8738708496094,304.19562
2021-08-06,342.1369934082031,311.0966
2021-08-07,355.7413635253906,293.15286
2021-08-08,342.06475830078125,308.44864
2021-08-09,354.9668273925781,302.34262
2021-08-10,371.9543762207031,300.581
2021-08-11,391.7570495605469,320.16696
2021-08-12,385.8189697265625,331.67758
2021-08-13,410.94488525390625,336.8212
2021-08-14,409.03448486328125,352.4146
2021-08-15,414.59503173828125,354.4187
2021-08-16,417.4708557128906,360.7575
2021-08-17,401.9089050292969,351.61615
2021-08-18,398.25146484375,325.7305
2021-08-19,430.9888610839844,335.82806
2021-08-20,454.9363098144531,365.4863
2021-08-21,448.9202575683594,384.67218
2021-08-22,449.0534973144531,379.8428
2021-08-23,499.8905944824219,372.42325
2021-08-24,471.595458984375,394.91718
2021-08-25,502.7862548828125,386.84726
2021-08-26,479.006103515625,389.91904
2021-08-27,494.4986877441406,396.4373
2021-08-28,486.1969299316406,405.08234
2021-08-29,480.28302001953125,412.0857
2021-08-30,459.4907531738281,378.0692
2021-08-31,464.4187316894531,378.06177
2021-09-01,490.0687255859375,378.09097
2021-09-02,483.9210510253906,388.7555
2021-09-03,488.6047058105469,391.30936
2021-09-04,498.07843017578125,408.21683
2021-09-05,504.619873046875,401.4836
2021-09-06,495.9250183105469,394.51892
2021-09-07,417.5087890625,397.18738
2021-09-08,415.1131591796875,335.6024
2021-09-09,421.27001953125,322.27756
2021-09-10,401.6217956542969,364.46088
2021-09-11,405.5273742675781,332.36703
2021-09-12,416.6832275390625,346.13104
2021-09-13,399.0634460449219,361.43103
2021-09-14,414.2362365722656,338.70996
2021-09-15,431.42303466796875,329.0354
2021-09-16,424.64923095703125,331.24167
2021-09-17,406.6328125,332.43787
2021-09-18,410.8092956542969,338.2592
2021-09-19,408.4716491699219,329.93732
2021-09-20,361.9659118652344,343.67267
2021-09-21,344.53460693359375,319.77094
2021-09-22,379.4403381347656,275.66544
2021-09-23,383.8204040527344,300.39252
2021-09-24,355.3162841796875,343.32147
2021-09-25,349.8800964355469,300.10904
2021-09-26,344.1817626953125,299.9167
2021-09-27,336.19122314453125,307.04938
2021-09-28,333.0325927734375,259.66916
2021-09-29,367.9895935058594,239.10631
2021-09-30,387.0573425292969,303.24496
2021-10-01,421.6431884765625,344.77545
2021-10-02,428.09832763671875,360.27606
2021-10-03,430.5088195800781,355.02536
2021-10-04,425.7489013671875,373.02075
2021-10-05,442.7061462402344,348.62546
2021-10-06,435.4013671875,317.58704
2021-10-07,438.7617492675781,361.75607
2021-10-08,419.10205078125,382.74002
2021-10-09,421.5494689941406,350.19568
2021-10-10,405.0693054199219,349.91528
2021-10-11,413.4562072753906,345.59247
2021-10-12,443.8675231933594,324.72488
2021-10-13,470.74969482421875,345.16428
2021-10-14,472.02239990234375,395.08478
2021-10-15,473.70263671875,403.6901
2021-10-16,465.6424560546875,386.34692
2021-10-17,470.62554931640625,377.47018
2021-10-18,485.11102294921875,373.80206
2021-10-19,488.14886474609375,381.30505
2021-10-20,501.02032470703125,380.35208
2021-10-21,471.2569274902344,424.3001
2021-10-22,478.6431579589844,426.3142
2021-10-23,485.90643310546875,394.19052
2021-10-24,476.63311767578125,390.90457
2021-10-25,484.64508056640625,371.12158
2021-10-26,478.0250549316406,379.99686
2021-10-27,449.00799560546875,394.00784
2021-10-28,492.0155334472656,378.82108
2021-10-29,529.6221313476562,404.26978
2021-10-30,527.9212036132812,427.85535
2021-10-31,524.3644409179688,413.60757
2021-11-01,551.2559204101562,419.9734
2021-11-02,554.4476318359375,449.15012
2021-11-03,568.5787963867188,461.07202
2021-11-04,559.7373046875,459.90375
2021-11-05,608.6480712890625,437.50293
2021-11-06,636.1139526367188,470.46658
2021-11-07,650.4540405273438,519.112
2021-11-08,654.3150024414062,496.45966
2021-11-09,635.1906127929688,504.66556
2021-11-10,615.278076171875,500.60562
2021-11-11,629.892333984375,456.44577
2021-11-12,626.6425170898438,468.6428
2021-11-13,650.1041259765625,496.0017
2021-11-14,650.9180908203125,505.9824
2021-11-15,633.0486450195312,514.6039
2021-11-16,589.8228759765625,491.35913
2021-11-17,578.0927734375,459.9033
2021-11-18,532.2376098632812,433.17407
2021-11-19,581.5308227539062,400.29013
2021-11-20,603.8400268554688,440.13513
2021-11-21,585.2942504882812,489.45114
2021-11-22,559.1270141601562,457.59842
2021-11-23,591.4395751953125,457.49933
2021-11-24,581.3953247070312,452.28903
2021-11-25,603.730224609375,423.71356
2021-11-26,585.1473388671875,436.61615
2021-11-27,600.3367919921875,453.25336
2021-11-28,611.3668212890625,473.2766
2021-11-29,624.31005859375,510.21692
2021-11-30,622.6698608398438,476.05728
2021-12-01,627.9715576171875,471.7729
2021-12-02,619.4701538085938,472.65295
2021-12-03,594.635986328125,458.37228
2021-12-04,569.0772705078125,460.61926
2021-12-05,557.7830810546875,472.6492
2021-12-06,589.2561645507812,433.44565
2021-12-07,579.6898803710938,440.89096
2021-12-08,607.5927734375,443.05048
2021-12-09,571.6489868164062,458.12405
2021-12-10,552.9668579101562,452.13947
2021-12-11,564.322509765625,427.51184
2021-12-12,570.823974609375,433.78815
2021-12-13,521.0115966796875,431.1436
2021-12-14,511.2293701171875,397.32376
2021-12-15,541.0269775390625,403.25967
2021-12-16,526.2465209960938,439.93665
2021-12-17,525.706298828125,417.86166
2021-12-18,533.891357421875,402.98996
2021-12-19,529.9720458984375,411.57492
2021-12-20,523.1624755859375,417.6901
2021-12-21,528.7109985351562,418.0215
2021-12-22,533.6449584960938,403.963
2021-12-23,548.725830078125,422.62943
2021-12-24,541.9020385742188,438.46973
2021-12-25,547.3262329101562,403.04108
2021-12-26,546.9949951171875,422.06546
2021-12-27,562.6414794921875,456.63678
2021-12-28,534.9280395507812,434.0637
2021-12-29,514.0007934570312,411.39618
2021-12-30,518.9097290039062,408.00253
2021-12-31,511.70831298828125,414.4409
2022-01-01,527.3527221679688,394.93747
2022-01-02,531.3966674804688,412.8633
2022-01-03,512.135986328125,418.6943
2022-01-04,507.506103515625,399.3327
2022-01-05,475.05694580078125,401.21884
2022-01-06,473.2756042480469,385.17953
2022-01-07,447.7884826660156,370.6833
2022-01-08,430.24615478515625,354.10046
2022-01-09,438.8030700683594,336.22595
2022-01-10,424.93377685546875,368.73932
2022-01-11,463.518310546875,363.45535
2022-01-12,487.0074157714844,371.50046
2022-01-13,475.02911376953125,396.56412
2022-01-14,489.867431640625,384.5547
2022-01-15,494.9880676269531,382.7276
2022-01-16,498.42791748046875,389.14352
2022-01-17,475.7098693847656,404.29694
2022-01-18,472.00506591796875,388.7164
2022-01-19,462.82208251953125,368.24023
2022-01-20,440.00543212890625,378.60776
2022-01-21,383.07391357421875,370.36572
2022-01-22,358.0961608886719,327.94238
2022-01-23,383.9339599609375,288.64548
2022-01-24,371.36895751953125,323.62592
2022-01-25,384.6193542480469,309.13022
2022-01-26,375.7554626464844,302.9432
2022-01-27,390.0882873535156,331.80225
2022-01-28,386.0843811035156,320.1044
2022-01-29,389.1327819824219,314.7044
2022-01-30,377.6129150390625,309.0738
2022-01-31,375.2773132324219,300.9093
2022-02-01,385.46380615234375,327.79834
2022-02-02,367.4716796875,338.9511
2022-02-03,370.87774658203125,327.74554
2022-02-04,399.02960205078125,327.98785
2022-02-05,414.20001220703125,324.162
2022-02-06,419.5455627441406,337.18338
2022-02-07,433.2292785644531,355.10263
2022-02-08,408.7767639160156,362.69296
2022-02-09,422.4655456542969,342.854
2022-02-10,415.1192321777344,352.07135
2022-02-11,400.4223937988281,337.48123
2022-02-12,403.3897399902344,312.9991
2022-02-13,398.88677978515625,350.74625
2022-02-14,403.6607971191406,353.82516
2022-02-15,432.4093933105469,347.15747
2022-02-16,427.9181213378906,368.19928
2022-02-17,402.4500427246094,359.56445
2022-02-18,399.5691833496094,333.1311
2022-02-19,400.0435791015625,326.56482
2022-02-20,380.825927734375,316.32626
2022-02-21,356.6612548828125,315.41467
2022-02-22,374.3074645996094,306.6339
2022-02-23,366.53948974609375,315.43896
2022-02-24,361.2346496582031,322.88632
2022-02-25,374.9149475097656,325.7287
2022-02-26,373.6387634277344,321.31912
2022-02-27,360.5310363769531,318.23877
2022-02-28,395.6124267578125,310.8557
2022-03-01,408.4822998046875,322.14706
2022-03-02,409.00030517578125,360.32376
2022-03-03,402.5506896972656,356.08865
2022-03-04,374.2808837890625,337.582
2022-03-05,384.87335205078125,318.99295
2022-03-06,375.0111999511719,332.20618
2022-03-07,381.3446350097656,324.04175
2022-03-08,381.95855712890625,310.35794
2022-03-09,393.5557556152344,342.48694
2022-03-10,372.1590270996094,350.3712
2022-03-11,372.1840515136719,307.91208
2022-03-12,372.7303771972656,308.76715
2022-03-13,361.8498229980469,315.97958
2022-03-14,373.4661560058594,282.85193
2022-03-15,371.62884521484375,309.29367
2022-03-16,385.5282287597656,339.23163
2022-03-17,391.8247375488281,347.53247
2022-03-18,397.6455078125,346.4656
2022-03-19,399.8535461425781,331.3162
2022-03-20,390.76837158203125,336.05856
2022-03-21,396.44781494140625,337.3618
2022-03-22,404.31494140625,321.30032
2022-03-23,408.6097717285156,348.02347
2022-03-24,414.1269836425781,360.03146
